fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10
1	20	kNN (full/test)	1.0	0.0	0.0	0.0
1	20	iMF (test)	1.0	0.0	0.0	0.0
2	20	Random	0.9998845532209651	0.0	0.0	0.0
2	20	iMF (full)	0.9998845532209651	0.0	0.0	0.0
2	20	Popularity	0.9998845532209651	0.0	0.0	0.0
2	20	Normalized kNN (test)	0.9998845532209651	0.0	0.0	0.0
2	20	Average Rating	0.9998845532209651	0.0	0.0	0.0
2	20	Normalized kNN (full)	0.9998845532209651	0.0	0.0	0.0
2	20	kNN (full/test)	0.9998845532209651	0.0	0.0	0.0
2	20	iMF (test)	0.9998845532209651	0.0	0.0	0.0
3	20	Random	1.0	0.0	0.0	0.0
3	20	iMF (full)	1.0	0.0	0.0	0.0
3	20	Popularity	1.0	0.0	0.0	0.0
3	20	Normalized kNN (test)	1.0	0.0	0.0	0.0
3	20	Average Rating	1.0	0.0	0.0	0.0
3	20	Normalized kNN (full)	1.0	0.0	0.0	0.0
3	20	kNN (full/test)	1.0	0.0	0.0	0.0
3	20	iMF (test)	1.0	0.0	0.0	0.0
4	20	Random	0.9999538212883861	0.0	0.0	0.0
4	20	iMF (full)	0.9999538212883861	0.0	0.0	0.0
4	20	Popularity	0.9999538212883861	0.0	0.0	0.0
4	20	Normalized kNN (test)	0.9999538212883861	0.0	0.0	0.0
4	20	Average Rating	0.9999538212883861	0.0	0.0	0.0
4	20	Normalized kNN (full)	0.9999538212883861	0.0	0.0	0.0
4	20	kNN (full/test)	0.9999538212883861	0.0	0.0	0.0
4	20	iMF (test)	0.9999538212883861	0.0	0.0	0.0
5	20	Random	0.9998152851535441	0.0	0.0	0.0
5	20	iMF (full)	0.9998152851535441	0.0	0.0	0.0
5	20	Popularity	0.9998152851535441	0.0	0.0	0.0
5	20	Normalized kNN (test)	0.9998152851535441	0.0	0.0	0.0
5	20	Average Rating	0.9998152851535441	0.0	0.0	0.0
5	20	Normalized kNN (full)	0.9998152851535441	0.0	0.0	0.0
5	20	kNN (full/test)	0.9998152851535441	0.0	0.0	0.0
5	20	iMF (test)	0.9998152851535441	0.0	0.0	0.0
1	50	Random	1.0	0.0	0.0	0.0
1	50	iMF (full)	1.0	0.0	0.0	0.0
