fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10
2	1	Average Rating	0.09333333333333334	6.391410503924022E-4	5.90717299578059E-4	3.860897382863131E-5
2	1	Normalized kNN (full)	0.09333333333333334	5.854526215325275E-4	5.063291139240507E-4	3.309340613882684E-5
2	1	kNN (full/test)	0.09333333333333334	6.011591985534792E-4	5.90717299578059E-4	3.860897382863131E-5
2	1	iMF (test)	0.09333333333333334	5.795064836272229E-4	5.063291139240507E-4	3.309340613882684E-5
3	1	Random	0.09425352112676057	3.887430862477699E-4	3.380281690140845E-4	3.755868544600939E-4
3	1	iMF (full)	0.09425352112676057	5.235178812838982E-4	4.507042253521127E-4	5.007824726134585E-4
3	1	Popularity	0.09425352112676057	4.281508125005326E-4	3.380281690140845E-4	3.755868544600939E-4
3	1	Normalized kNN (test)	0.09425352112676057	5.176558443525154E-4	4.507042253521127E-4	5.007824726134585E-4
3	1	Average Rating	0.09425352112676057	5.192402724104253E-4	4.507042253521127E-4	5.007824726134585E-4
3	1	Normalized kNN (full)	0.09425352112676057	4.817440135176591E-4	3.9436619718309857E-4	4.3818466353677624E-4
3	1	kNN (full/test)	0.09425352112676057	5.200219858659919E-4	4.507042253521127E-4	5.007824726134585E-4
3	1	iMF (test)	0.09425352112676057	5.146268879988826E-4	4.507042253521127E-4	5.007824726134585E-4
4	1	Random	0.09344925192074405	8.92958200698695E-5	1.2131014961585119E-4	4.794867573749059E-6
4	1	iMF (full)	0.09344925192074405	3.7470120416524056E-4	3.639304488475536E-4	1.4384602721247179E-5
4	1	Popularity	0.09344925192074405	2.2574219319116564E-4	2.021835826930853E-4	7.991445956248431E-6
4	1	Normalized kNN (test)	0.09344925192074405	4.043671653861706E-4	4.043671653861706E-4	1.5982891912496862E-5
4	1	Average Rating	0.09344925192074405	3.403117053908199E-4	3.2349373230893653E-4	1.2786313529997489E-5
4	1	Normalized kNN (full)	0.09344925192074405	2.6538750853532335E-4	2.8305701577031943E-4	1.1188024338747804E-5
4	1	kNN (full/test)	0.09344925192074405	3.1507134531630115E-4	2.8305701577031943E-4	1.1188024338747804E-5
4	1	iMF (test)	0.09344925192074405	1.222821797387185E-4	1.2131014961585119E-4	4.794867573749059E-6
5	1	Random	0.09385315879339784	2.845759817871372E-4	2.845759817871372E-4	6.467635949707663E-5
5	1	iMF (full)	0.09385315879339784	2.845759817871372E-4	2.845759817871372E-4	6.467635949707663E-5
5	1	Popularity	0.09385315879339784	2.576014899346754E-4	2.5611838360842346E-4	5.820872354736897E-5
5	1	Normalized kNN (test)	0.09385315879339784	2.3440520586128936E-4	2.2766078542970974E-4	5.174108759766131E-5
5	1	Average Rating	0.09385315879339784	2.6572162110006E-4	2.5611838360842346E-4	5.820872354736897E-5
5	1	Normalized kNN (full)	0.09385315879339784	2.845759817871372E-4	2.845759817871372E-4	6.467635949707663E-5
5	1	kNN (full/test)	0.09385315879339784	2.845759817871372E-4	2.845759817871372E-4	6.467635949707663E-5
