====================
Dataset: ml1m/male
====================

P@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
500	0.40033810448726187	0.2709100972733117	0.36687808813346645	0.3610372694501483	0.29684465449535674	0.1436093935173413	0.0998139996959288	0.23635280925712454	0.019590688337367494
1000	0.3386899557680457	0.19213168217911214	0.30336487073448165	0.2960339790805642	0.2453368575394787	0.08815889372024241	0.06058091535496807	0.17949864046429523	0.009933468103185883
2000	0.27643245063444705	0.12944246416026667	0.2417213244184509	0.2337141479621124	0.18406867921548117	0.048587110074006436	0.02930719480604721	0.13032334583810554	0.005216972944225708
3671	0.2214299150841102	0.08742822408909585	0.1924593645488143	0.18567840953675827	0.13133564847438012	0.025396971123291378	0.010745930951973182	0.0941994698860303	0.002815753654961654

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8394781177188158	0.8708636000606921	0.8395811208054814	0.8428028448999376	0.817585934435319	0.8611741559735243	0.8517249074350894	0.7971468592113635	0.6862007975350258
1	0.8366719762829332	0.86679152231456	0.836427902520356	0.8399847841721803	0.8054125787131377	0.8519311276420483	0.8358398320655407	0.7915767973767962	0.6534609922378914
2	0.8337703344462388	0.8633103664740759	0.833773229499611	0.8376445329566033	0.795191713095095	0.8436773911660443	0.8216551027511189	0.7861629721679833	0.6240317567017993
5	0.8269525896525696	0.8516890591933516	0.8254665784475804	0.8301454844244859	0.7677608529295458	0.8188822775071676	0.7817299284562338	0.7711448363004985	0.5483676446132811
10	0.817034747692991	0.834258858922686	0.8136345573253113	0.8190686434001828	0.732023232537728	0.7822903032635314	0.725513297657806	0.7486131310878001	0.45129968126248887
20	0.8041261813228979	0.8057331592548691	0.7969412249631349	0.8018359473638343	0.6968891544418773	0.7226830683843816	0.6436178961819399	0.7136070060282984	0.3455790895497903
50	0.7782142227601424	0.7392864331037824	0.7623427762648863	0.764281976291803	0.653639293767752	0.6012895754955385	0.5048724106686946	0.6439959406216024	0.2144766326709678
100	0.7455045574681404	0.6638226583852779	0.7228281768330318	0.7227774702843679	0.6159498183231092	0.49089486766557433	0.39751631243111013	0.5790091201860894	0.13979076218662118
200	0.7014290187608893	0.5647492124299891	0.6695397099462442	0.6655212210035477	0.5636354591420779	0.37751999067827263	0.28577040924352687	0.5058546898371008	0.08433352567476615
500	0.6179328920043966	0.4153968945152805	0.5765257549223399	0.5691918857038636	0.46033910648899273	0.2413841600748729	0.16194203095810106	0.40122049978191965	0.03922933922476909
1000	0.5383032983387331	0.30459995785461735	0.49296696073419605	0.48508236671904587	0.3604048418573887	0.15497689438297715	0.09421257447996131	0.3222843265698137	0.020980937664847
2000	0.45278896018762405	0.21115772537645	0.4065466210137184	0.3997001080728365	0.257077472243728	0.0878199648600283	0.04418925916394344	0.24873732204244775	0.010892007420277896
3671	0.3738817549678136	0.1466792073526831	0.3330293774051043	0.3284209845009453	0.1775847209499077	0.04835566574632043	0.017191983390690384	0.19175940980829806	0.006357865990820025

FScore@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.5244232419611651	0.5430226672558949	0.5248714646534725	0.5268410740009195	0.5117723882066184	0.5380090101151382	0.533921731415988	0.5055366879407781	0.45694874213004083
1	0.522796113149501	0.5411953618125613	0.5227669742752484	0.5250299689654225	0.5041631417002783	0.5336870581926793	0.5264158965214227	0.5022856575770318	0.4421843572897097
2	0.5207850153228744	0.5388131251033023	0.5208352516680852	0.5232606806365352	0.49700916032177106	0.5293583839847347	0.5188609126663897	0.4989194965989438	0.42599261827299373
5	0.5149210479609198	0.532006993886064	0.5141707363946226	0.517710727659833	0.4741228669799207	0.5160382815534155	0.49632395714324834	0.488927368456438	0.3760575205882763
10	0.507128032236798	0.5213155831876778	0.5045253536246076	0.5094011504923539	0.4410659325656988	0.4943743051882866	0.4594691050832436	0.47286805778266067	0.30308093965658894
20	0.49735464499620485	0.502309152611305	0.491466398625767	0.49594277540942533	0.4101284352405671	0.455822095450512	0.40264806908181683	0.4463734120173564	0.22398501731059256
50	0.47782193494341685	0.45892510271495396	0.4654194172192364	0.46738518641532306	0.37750276120516113	0.37252721552515294	0.30866249102898313	0.39481086430274276	0.13008338361971197
100	0.4536688334417648	0.40990398249323257	0.43586546681758015	0.4369741106623847	0.354591572568237	0.29820653850240914	0.23979276551016807	0.34695220362245116	0.08012651156551216
200	0.4219110766238276	0.34541098886829913	0.39776694949583824	0.39590687848641004	0.3265870561303207	0.22467737927745443	0.17198200525091673	0.29575973037026065	0.046379846228844
500	0.36435318403477224	0.25019222383372036	0.334092444612246	0.3292986318170299	0.27382160380263115	0.14295289157179009	0.09831482078931816	0.2268938400683611	0.02065962148618304
1000	0.311662558594756	0.18018094723417444	0.27915962418461426	0.27391395632289794	0.21996830569094544	0.09170644984617357	0.060304771344181204	0.17667501789487644	0.010798536823981396
2000	0.2567361790521985	0.12292032908031718	0.22519097531542404	0.2195444719084647	0.16146118333826273	0.05263695063731559	0.029706964560712635	0.13153177233251018	0.005625928801582599
3671	0.207987361022959	0.08412522628489845	0.18084302705645383	0.17614967185743668	0.1140396234503066	0.02890888277250263	0.011398812690361883	0.09754875317690473	0.0032064573847622956

