====================
Dataset: yahoo-popular
====================

P@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.24810003775862294	0.24854154194698702	0.24743090318776959	0.24776178739238713	0.2456041084591642	0.24774327165989024	0.24714708100978816	0.24539884443372553	0.24389358882089093
1	0.24741532986218412	0.24784255917175324	0.24672447497652428	0.24730638549337383	0.24354945632798702	0.2469221214797971	0.24502630222677552	0.24410347880902958	0.24152087423142438
2	0.2468570670256342	0.2471948049930483	0.24596143094449968	0.24674167766671912	0.2412223426989879	0.24584301129823644	0.24177292250511678	0.24333485438404864	0.2376402783484281
5	0.2430921040946996	0.2442837243307642	0.24139998737138155	0.24309326505406373	0.22935746604881957	0.24054651551923906	0.23254392454239783	0.23529553785706425	0.2219407139727118
10	0.2332152342514681	0.23638195450080404	0.2273028599254073	0.23153603893458768	0.1917256790982128	0.22297917159930475	0.20459868955339283	0.20979027562420233	0.16804661618535477
20	0.21970800899939996	0.2229898689079433	0.21121690137443014	0.21704986741748086	0.15011455802294846	0.18109457163616716	0.1654740109207939	0.1874012890259154	0.10068478230496507
50	0.201833946530877	0.2039330058470586	0.18998371706449485	0.20137568460162134	0.11802413642459916	0.10445439441775115	0.08581543500507263	0.1709256569553269	0.04556079090655985
100	0.18559461449506504	0.1861131794699089	0.17388872810498596	0.18453767180782543	0.1050389389295588	0.045334871703812056	0.026619892476293906	0.1427380726734398	0.024654625155677522
200	0.15237031837985668	0.15259059871940456	0.14419858438970606	0.14645006702135088	0.09645061052851431	0.010740069925651716	0.008041249485395613	0.10858303717158727	0.012739023437928145
500	0.11095120921198623	0.10787994950146496	0.10618289031875569	0.1009009586659095	0.08504768991061848	0.0029532387170232597	0.002969108305326822	0.07529709061135323	0.005402243164133489
1000	0.08362854488740067	0.07835946838628119	0.0808661668920406	0.07631176042183677	0.0649518800250793	0.0013594098559874962	0.0011884403629720524	0.051745395502839096	0.002422523265715651

