====================
Dataset: yahoo
====================

P@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
20	0.6022561726529745	0.6123340720790884	0.5814257712639571	0.5988413364334897	0.4126681476180648	0.5141946700426729	0.46312434561317256	0.5198375413206209	0.2778538206608775
50	0.5566810526210675	0.5618523354470828	0.5249074011252268	0.5579754321791326	0.3240534744396835	0.30240459306615153	0.2416957801690689	0.4765469780739201	0.12968795548723033
100	0.5133819331275637	0.5170515615156756	0.4818156639202774	0.5141669007688608	0.2875901296051474	0.13147777306140807	0.07128209917487174	0.4012780434934694	0.06451251323088665
200	0.4264838494008719	0.4287320515818305	0.403586517046066	0.41261203406419933	0.26599889449389885	0.03059505137471183	0.02156667162450277	0.30617920269247495	0.03256093651830931
500	0.31433626311044305	0.30577267980076783	0.3005516564361803	0.28680280740100683	0.23950957661356886	0.008379860443211973	0.007984019066213368	0.2115801722962972	0.014146446218895182
1000	0.23667783963743153	0.22723604129399738	0.22909079740171007	0.21718778843053183	0.18498541826020298	0.004105776229309294	0.003282202893273326	0.14671235895634877	0.00760257872324468

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.5777122426035431	0.5834226755036068	0.573532635589033	0.5736512741074499	0.5587423929010142	0.5810409703687921	0.5738029278808916	0.5513397001346664	0.5353376508453703
1	0.5724114809930662	0.5783654789142336	0.5680264160283148	0.5706176607339966	0.5347529118616487	0.5574002416305137	0.5425383489956397	0.5430489688334152	0.48782372793388235
2	0.5671197774112435	0.5728531364189225	0.56170192976685	0.5643893828322856	0.5150136101972107	0.538815297105661	0.47278319393694385	0.5343008498941423	0.4495469308764786
5	0.5445688103516919	0.5512949284725501	0.5389648890133119	0.5396821499883477	0.4712875622041617	0.4962954299216779	0.4458397623882361	0.48842395770341823	0.3760167007337979
10	0.500402243716107	0.5115726214970306	0.48505590848304997	0.48194125072412053	0.40067274081821436	0.40725129991186904	0.35234400921472747	0.4201877464216411	0.2750917819072202
20	0.47615498367549625	0.485346229090582	0.4571778062528635	0.45801478470797913	0.33744410677593406	0.2762058007468399	0.2331023098499946	0.3907794799584288	0.15792170352262747
50	0.44883087266578736	0.4521649869089025	0.42598671133603894	0.43759275544119447	0.29071579017502736	0.14971719668149422	0.11710256739729681	0.3698946268020153	0.07567140943662531
100	0.4080522785763511	0.4101139162210556	0.38978103082221277	0.40186640891007774	0.2621451566599891	0.06113638194110073	0.03719895820757786	0.3091018865135065	0.03921325144475786
200	0.3186893584029537	0.3159081272884758	0.29986945281682936	0.29320623662215417	0.21749963564730165	0.014748286801916661	0.0112369187704565	0.21245138450826348	0.019400776058363794
500	0.22827616525477162	0.2137684175323776	0.21670142174993617	0.20430419065724542	0.16214864410774646	0.004378536162959791	0.003795590125381392	0.14181221303826289	0.008438683134712206
1000	0.1676116386539735	0.15323461960582405	0.16085276161182704	0.15312198899877777	0.11206791678115069	0.0022365441505996075	0.0017553256116998848	0.09325514664404641	0.004610017983664815

FScore@10
