====================
Dataset: ml1m
====================

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
50	0.6132152317880795	0.5920860927152318	0.6009337748344371	0.5094172185430464	0.46490397350993373	0.4056754966887418	0.5089205298013246	0.19316887417218545
100	0.5877251655629139	0.5360000000000001	0.5679370860927152	0.47979801324503313	0.3838476821192053	0.31609933774834437	0.4568509933774834	0.1263973509933775
200	0.552407284768212	0.4615397350993378	0.5244105960264901	0.43992052980132446	0.30202317880794705	0.22261589403973508	0.39846357615894035	0.07666225165562915
500	0.4877086092715232	0.34266225165562914	0.4476920529801324	0.3624238410596027	0.2003476821192053	0.12429470198675499	0.3154072847682119	0.0358112582781457
1000	0.42460264900662253	0.2555165562913907	0.3798145695364239	0.28688079470198674	0.13804304635761594	0.0849205298013245	0.2529635761589404	0.01923841059602649
2000	0.3549867549668874	0.1785927152317881	0.3100033112582781	0.207635761589404	0.08650331125827815	0.04664238410596026	0.19429139072847681	0.01018543046357616
3706	0.29124172185430464	0.12434437086092716	0.2514105960264901	0.1453476821192053	0.0491158940397351	0.01852980132450331	0.1459205298013245	0.005483443708609271

Recall@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.6191158761170578	0.6348748969506353	0.620170446107911	0.6051814681386121	0.6298265048236397	0.6266992175837403	0.6031828128187253	0.5654513610162774
1	0.6168349868789916	0.6325834413194139	0.6182568758287524	0.5969496808134789	0.6244922251980384	0.6191419415991348	0.5993204270343815	0.5502590373710211
2	0.6147162888637167	0.6303397209730683	0.6161296174291012	0.5879789418013506	0.6184221646538335	0.6109721740849906	0.5951326788932413	0.53256124185612
5	0.6061902736970342	0.6228383957177039	0.6092148789795047	0.5546302056939532	0.5996152528416292	0.5847050220277011	0.5821670651099007	0.47266240723972974
10	0.5933289978055907	0.6092856107145689	0.5970313716390059	0.4962851960012232	0.5654886247116784	0.5377354029600798	0.559449593267132	0.3669071015475585
20	0.5787574756011756	0.5849519346221989	0.5791896419425052	0.44181562845174815	0.5016353566536813	0.45644823572139204	0.519390237862408	0.252218018863161
50	0.5507452486193499	0.5285218428510632	0.5416646881112408	0.39363637208668756	0.3866976417083602	0.33038984158128126	0.44513253838403977	0.1369865609602108
100	0.5180680702595347	0.46545299567882353	0.50100071344479	0.3668643146985412	0.29860357774088747	0.2417066443022684	0.37852878459021144	0.08059345336642516
200	0.47622468871112594	0.3876975401304628	0.4498991141432761	0.3395998239662161	0.22182992436114524	0.16298985131376476	0.3120857223504091	0.04445655710439691
500	0.40402226154791476	0.27179250850191317	0.3688507628354742	0.29305903924694154	0.13826103347332236	0.08351987404676643	0.22914638327312242	0.01938513463043872
1000	0.34047411594627036	0.19474559541592618	0.30190859886157606	0.24419883508692264	0.0899814456024815	0.055411068062790766	0.17372025133678518	0.010150136934452304
2000	0.2746710137276608	0.13063721060666567	0.23737935210877797	0.1841287504051638	0.05153450040565838	0.0286112083312731	0.12415307408656846	0.004970961630022232
3706	0.21839419744582642	0.08785384414441258	0.18619031542661876	0.1306782235192074	0.02666439790862223	0.010401828676453758	0.08575242657954985	0.0028178511365400845

====================
Dataset: yahoo
====================

nDCG@10
