target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10
3706	iMF (full)	iMF (test)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
3706	iMF (full)	Normalized kNN (test)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
3706	iMF (full)	Popularity	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
3706	iMF (full)	Normalized kNN (full)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
0	Normalized kNN (full)	Random	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Normalized kNN (full)	iMF (test)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Normalized kNN (full)	Popularity	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Normalized kNN (full)	Average Rating	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Normalized kNN (full)	iMF (full)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Normalized kNN (full)	Normalized kNN (test)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Normalized kNN (full)	kNN (full/test)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	Normalized kNN (full)	iMF (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	Normalized kNN (full)	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	Normalized kNN (full)	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	Normalized kNN (full)	Normalized kNN (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	Normalized kNN (full)	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	Normalized kNN (full)	Average Rating	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	Popularity	Normalized kNN (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	Popularity	iMF (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	Popularity	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	Popularity	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	Popularity	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	Popularity	Average Rating	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	Popularity	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	iMF (full)	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	iMF (full)	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	iMF (full)	Normalized kNN (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	iMF (full)	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	iMF (full)	Average Rating	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	Normalized kNN (test)	iMF (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	Normalized kNN (test)	iMF (test)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
100	Normalized kNN (test)	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	Normalized kNN (test)	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	Normalized kNN (test)	Average Rating	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
100	Normalized kNN (test)	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
2000	iMF (test)	Popularity	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
2000	iMF (test)	Random	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
2000	iMF (test)	kNN (full/test)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
2000	iMF (test)	Average Rating	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
2000	iMF (test)	iMF (full)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
2000	iMF (test)	Normalized kNN (full)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
2	iMF (full)	Random	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	iMF (full)	Average Rating	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	iMF (full)	Popularity	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	iMF (full)	kNN (full/test)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	iMF (full)	iMF (test)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	iMF (full)	Normalized kNN (test)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	iMF (full)	Normalized kNN (full)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	Average Rating	iMF (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	Average Rating	Normalized kNN (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	Average Rating	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	Average Rating	Popularity	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	Average Rating	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	Average Rating	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	Average Rating	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	kNN (full/test)	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	kNN (full/test)	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	kNN (full/test)	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	kNN (full/test)	Normalized kNN (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	kNN (full/test)	Average Rating	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	kNN (full/test)	iMF (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	iMF (full)	Popularity	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	iMF (full)	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	iMF (full)	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	iMF (full)	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	iMF (full)	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	iMF (full)	Normalized kNN (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	iMF (test)	iMF (full)	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	iMF (test)	Normalized kNN (test)	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	iMF (test)	Normalized kNN (full)	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	iMF (test)	kNN (full/test)	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	iMF (test)	Random	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	iMF (test)	Popularity	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
1	iMF (test)	Average Rating	0.045480880648899186	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	iMF (full)	Normalized kNN (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	iMF (full)	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	iMF (full)	Popularity	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	iMF (full)	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	iMF (full)	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
10	iMF (full)	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	iMF (full)	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	iMF (full)	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	iMF (full)	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	iMF (full)	Average Rating	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
100	iMF (full)	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	iMF (full)	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	iMF (full)	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	iMF (full)	Average Rating	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	iMF (full)	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
2000	Popularity	Random	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
2000	Popularity	kNN (full/test)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
2000	Popularity	Average Rating	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
2000	Popularity	iMF (full)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
2000	Popularity	Normalized kNN (full)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
2	Random	Average Rating	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	Random	Popularity	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	Random	kNN (full/test)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	Random	iMF (test)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	Random	Normalized kNN (test)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
2	Random	Normalized kNN (full)	0.004510842575732495	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Random	iMF (test)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Random	Popularity	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Random	Average Rating	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Random	iMF (full)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Random	Normalized kNN (test)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
0	Random	kNN (full/test)	0.9996689289852674	0.9996689289852674	0.9996689289852674	0.9996689289852674
