fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10
3	2	Popularity	0.8233278145695364	0.7695064889438679	0.4822682119205298	0.7283874867142057
3	2	Normalized kNN (test)	0.805115894039735	0.8022032144052066	0.5102152317880795	0.7482215049777726
3	2	Average Rating	0.8233278145695364	0.7844331538190169	0.503841059602649	0.7437731049885367
3	2	Normalized kNN (full)	0.5605794701986755	0.6176976497794017	0.4052483443708609	0.48034314262828526
3	2	kNN (full/test)	0.7661258278145695	0.810030705563624	0.5071854304635762	0.7384451225733804
3	2	iMF (test)	0.8235927152317881	0.8375628136033044	0.5272682119205298	0.761850301900466
4	2	Random	0.8213907284768212	0.6278692634217773	0.417682119205298	0.6769604052122
4	2	iMF (full)	0.8213907284768212	0.816644762253436	0.51	0.748042587275622
4	2	Popularity	0.8209271523178807	0.7701444324202812	0.48198675496688737	0.7287580641535598
4	2	Normalized kNN (test)	0.8021854304635762	0.8045427771188693	0.5086920529801324	0.746724232742641
4	2	Average Rating	0.8209271523178807	0.7864200829592484	0.5014238410596026	0.7410325252309661
4	2	Normalized kNN (full)	0.5609271523178808	0.6191458082586528	0.4049006622516556	0.4815630519193485
4	2	kNN (full/test)	0.7643046357615894	0.8096332597401802	0.5050662251655629	0.7378759750802945
4	2	iMF (test)	0.8213907284768212	0.8374602145174675	0.5247516556291391	0.7603772223519732
5	2	Random	0.8239072847682118	0.6305920773282228	0.41536423841059605	0.6812571280476974
5	2	iMF (full)	0.8239072847682118	0.8216579019331868	0.5088741721854304	0.755194025140718
5	2	Popularity	0.8236920529801325	0.7725861803100096	0.4805794701986755	0.7354948889671494
5	2	Normalized kNN (test)	0.8056291390728477	0.8089956662010791	0.5083940397350993	0.7553477393425072
5	2	Average Rating	0.8236920529801325	0.7902627096804242	0.502135761589404	0.7498282549914119
5	2	Normalized kNN (full)	0.5600331125827814	0.6212403539937822	0.40172185430463575	0.48530816973918695
5	2	kNN (full/test)	0.7675165562913907	0.8158740331328289	0.5060099337748345	0.7469732285126195
5	2	iMF (test)	0.8239072847682118	0.8450538386156414	0.5248675496688742	0.7679006375532966
1	5	Random	0.9338079470198675	0.5328989970657698	0.371887417218543	0.6179402573370022
